user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CAN_4_bin.236	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera sp017997795	GCA_017997795.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera sp017997795	97.93	0.759	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_024710965.1, s__Thauera sp024710965, 95.0, 85.06, 0.187; GCF_003030465.1, s__Thauera aromatica, 95.0, 84.28, 0.173; GCF_001591165.1, s__Thauera butanivorans, 95.0, 84.23, 0.162; GCF_025699485.1, s__Thauera sp025699485, 95.0, 83.69, 0.167; GCF_001051995.2, s__Thauera humireducens, 95.0, 84.97, 0.217; GCF_029223545.1, s__Thauera sp029223545, 95.0, 89.99, 0.521; GCF_000310185.1, s__Thauera aminoaromatica, 95.0, 88.0, 0.369; GCA_029286945.1, s__Thauera sp029286945, 95.0, 89.65, 0.449; GCF_001696715.1, s__Thauera phenolivorans, 95.0, 84.29, 0.156; GCA_003446655.1, s__Thauera sp003446655, 95.0, 89.4, 0.375; GCF_009469595.2, s__Thauera sp009469595, 95.0, 83.86, 0.155; GCF_023093595.1, s__Thauera aromatica_A, 95.0, 84.55, 0.167; GCA_029982755.1, s__Thauera sp029982755, 95.0, 89.5, 0.456; GCA_016790365.1, s__Thauera sp016790365, 95.0, 88.54, 0.266; GCF_029588855.1, s__Thauera mechernichensis, 95.0, 84.98, 0.23; GCA_023150215.1, s__Thauera sp023150215, 95.0, 88.66, 0.265; GCF_001922305.1, s__Thauera chlorobenzoica, 95.0, 84.5, 0.187; GCA_002422685.1, s__Thauera sp002422685, 95.0, 89.14, 0.397; GCF_002245655.1, s__Thauera propionica, 95.0, 85.1, 0.206; GCF_024235615.1, s__Thauera sp003963015, 95.0, 89.35, 0.403; GCF_000310225.1, s__Thauera phenylacetica, 95.0, 89.95, 0.41	N/A	N/A	N/A	N/A
CAN_4_bin.238	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA2329;s__UBA2329 sp002344975	GCA_002344975.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA2329;s__UBA2329 sp002344975	98.07	0.834	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_4_bin.25	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.46	11	0.93966	N/A
CAN_4_bin.35	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.32	11	0.98499	N/A
CAN_4_bin.38	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-27196;f__Salinispiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-27196;f__Salinispiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	63.87	11	0.75007	N/A
CAN_4_bin.44	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__DUSC01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__DUSC01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	95.21	11	0.99132	N/A
CAN_4_bin.62	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__JARKPB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__JARKPB01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	40.62	11	0.97265	N/A
CAN_4_bin.64	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp003538495	GCF_029255145.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp003538495	96.24	0.781	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_907163085.1, s__Accumulibacter sp907163085, 95.0, 83.64, 0.22; GCF_024235695.1, s__Accumulibacter sp014879755, 95.0, 82.72, 0.185	N/A	N/A	N/A	N/A
CAN_4_bin.70	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JAIOHN01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JAIOHN01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	68.5	11	0.89515	N/A
CAN_4_bin.72	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	43.08	11	0.93612	N/A
CAN_4_bin.76	d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__J137;f__J137;g__Brojett037;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__J137;f__J137;g__Brojett037;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	31.02	11	0.95626	N/A
CAN_4_bin.92	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__Flexifilum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__Flexifilum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	71.1	11	0.97432	N/A
CAN_5_bin.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhabdaerophilum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhabdaerophilum;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	98.31	11	0.98976	N/A
CAN_5_bin.100	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__JAEXTR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__JAEXTR01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	80.66	11	0.98522	N/A
CAN_5_bin.106	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter;s__Competibacter phosphatis	GCF_012939995.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter;s__Competibacter phosphatis	97.2	0.863	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_029624815.1, s__Competibacter sp029624815, 95.0, 88.25, 0.52; GCA_016699715.1, s__Competibacter sp016699715, 95.0, 90.12, 0.621; GCA_027492875.1, s__Competibacter sp027492875, 95.0, 86.83, 0.466; GCA_020445045.1, s__Competibacter sp020445045, 95.0, 91.4, 0.67	N/A	N/A	N/A	N/A
CAN_5_bin.112	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.64	11	0.99601	N/A
CAN_5_bin.145	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__JAAFHL01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__JAAFHL01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.52	11	0.85831	N/A
CAN_5_bin.146	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA6164;g__Altimarinus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA6164;g__Altimarinus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.07	4	0.94307	N/A
CAN_5_bin.147	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__SpSt-398;s__SpSt-398 sp017303415	GCA_017303415.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__SpSt-398;s__SpSt-398 sp017303415	98.47	0.913	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_5_bin.149	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	78.05	11	0.96228	N/A
CAN_5_bin.150	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__JAHFLJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__JAHFLJ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	65.82	11	0.98003	N/A
CAN_5_bin.167	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__OLB5;g__OLB5;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__OLB5;g__OLB5;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	51.16	11	0.97761	N/A
CAN_5_bin.169	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	52.27	11	0.78528	N/A
CAN_5_bin.173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAIKAF01;f__CAIKAF01;g__JAKRSD01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__CAIKAF01;f__CAIKAF01;g__JAKRSD01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	90.41	11	0.93759	N/A
CAN_5_bin.177	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__SCMT01;s__SCMT01 sp019510125	GCA_019510125.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__SCMT01;s__SCMT01 sp019510125	98.62	0.924	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_011526085.1, s__SCMT01 sp011526085, 95.0, 83.01, 0.154; GCA_023392975.1, s__SCMT01 sp023392975, 95.0, 91.07, 0.614	N/A	N/A	N/A	N/A
CAN_5_bin.180	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6170;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	63.16	11	0.98006	N/A
CAN_5_bin.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA2400;f__UBA2400;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA2400;f__UBA2400;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	97.12	11	0.78336	N/A
CAN_5_bin.40	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria sp026647025	GCA_026647025.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria sp026647025	97.6	0.825	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_003604195.1, s__Giesbergeria lacusdiani, 95.0, 84.04, 0.249; GCA_001770955.1, s__Giesbergeria sp001770955, 95.0, 84.35, 0.226; GCA_024709845.1, s__Giesbergeria sp024709845, 95.0, 84.84, 0.201; GCF_003096555.1, s__Giesbergeria sp003096555, 95.0, 88.1, 0.502; GCA_023954095.1, s__Giesbergeria sp023954095, 95.0, 95.3, 0.717; GCA_030690515.1, s__Giesbergeria sp030690515, 95.0, 91.16, 0.504; GCA_010020825.1, s__Giesbergeria sp010020825, 95.0, 83.36, 0.179; GCA_023150295.1, s__Giesbergeria sp023150295, 95.0, 82.91, 0.165	N/A	N/A	N/A	N/A
CAN_5_bin.52	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	70.74	11	0.90447	N/A
CAN_5_bin.62	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__Caldilinea sp014879855	GCA_014879855.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__Caldilinea sp014879855	99.63	0.897	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_016710365.1, s__Caldilinea saccharophila, 95.0, 90.2, 0.582	N/A	N/A	N/A	N/A
CAN_5_bin.70	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus sp017302355	GCA_017302355.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus sp017302355	98.67	0.754	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_002440665.1, s__Azonexus sp002440665, 95.0, 82.86, 0.167; GCF_009469615.1, s__Azonexus sp009469615, 95.0, 83.85, 0.192; GCA_017983755.1, s__Azonexus sp017983755, 95.0, 83.97, 0.21; GCA_013693915.1, s__Azonexus sp013693915, 95.0, 87.0, 0.41; GCA_016714975.1, s__Azonexus sp016714975, 95.0, 84.64, 0.255; GCA_016722705.1, s__Azonexus phosphoritrophus, 95.0, 84.31, 0.268	N/A	N/A	N/A	N/A
CAN_5_bin.9	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA5195;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA5195;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.64	11	0.96241	N/A
CAN_5_bin.90	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA2023;g__UBA5532;s__UBA5532 sp002426885	GCA_002426885.1	95.0	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA2023;g__UBA5532;s__UBA5532 sp002426885	98.84	0.919	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
CAN_5_bin.97	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UBA1934;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UBA1934;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.43	11	0.89187	N/A
coasm_bin.10	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__Leptovillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineifilales;f__Promineifilaceae;g__Leptovillus;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.1	11	0.93463	N/A
coasm_bin.103	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JALHNB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__JALHNB01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	76.35	11	0.88318	N/A
coasm_bin.105	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAAKGP01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.45	11	0.9855	N/A
coasm_bin.108	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	58.27	11	0.99528	Genome has more than 12.5% of markers with multiple hits
coasm_bin.110	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__Leptonema;s__Leptonema illini	GCF_000243335.1	95.0	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__Leptonema;s__Leptonema illini	97.08	0.87	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.112	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA10105;f__UBA927;g__UBA927;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA10105;f__UBA927;g__UBA927;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	51.62	11	0.96415	N/A
coasm_bin.114	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.13	11	0.96732	N/A
coasm_bin.115	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__GCA-2794515;s__GCA-2794515 sp025454675	GCA_025454675.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Phototrophicaceae;g__GCA-2794515;s__GCA-2794515 sp025454675	98.04	0.577	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.117	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JAFLBI01;s__JAFLBI01 sp017303835	GCA_017303835.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JAFLBI01;s__JAFLBI01 sp017303835	97.31	0.943	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_019745155.1, s__JAFLBI01 sp019745155, 95.0, 91.01, 0.637	N/A	N/A	N/A	N/A
coasm_bin.118	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GCA-013693735;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GCA-013693735;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.74	11	0.98761	N/A
coasm_bin.121	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__UBA2475 sp020162035	GCA_020162035.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__UBA2475 sp020162035	99.32	0.886	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.125	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	42.16	11	0.99104	N/A
coasm_bin.13	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	79.34	11	0.95752	N/A
coasm_bin.131	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azoarcus_F;s__Azoarcus_F taiwanensis	GCF_012910885.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azoarcus_F;s__Azoarcus_F taiwanensis	98.51	0.859	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.132	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__ELB16-189 sp017303805	GCA_017303805.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__ELB16-189 sp017303805	99.73	0.956	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
coasm_bin.133	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Kaistella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	52.45	11	0.98326	N/A
coasm_bin.134	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_B;s__Lysobacter_B sp014879375	GCA_014879375.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_B;s__Lysobacter_B sp014879375	99.98	0.968	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_003293695.1, s__Lysobacter_B oculi, 95.0, 84.02, 0.276; GCF_900155935.1, s__Lysobacter_B tolerans, 95.0, 84.27, 0.32	N/A	N/A	N/A	N/A
coasm_bin.135	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.18	11	0.98512	N/A
coasm_bin.138	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JABFRJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JABFRJ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	56.23	11	0.95287	N/A
