genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
CAN_5_bin.167.fa,51.00241466805647,NA,NA,NA,NA,NA,218_2,NA,NA,1,NA,NA,NA,NA
coasm_bin.482.fa,101.3349887112324,NA,NA,NA,NA,NA,219_1,NA,NA,2,100.00,100.00,NA,NA
coasm_bin.337.fa,100.18437053059914,NA,NA,NA,NA,NA,220_1,NA,NA,3,99.84,99.65,NA,NA
coasm_bin.150.fa,95.88337547490876,NA,NA,NA,NA,NA,221_1,NA,NA,2,99.26,99.26,NA,NA
CAN_4_bin.142.fa,78.19841438949467,NA,NA,NA,NA,NA,222_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.112.fa,83.3282157225921,NA,NA,NA,NA,NA,223_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.142.fa,98.05536695952368,NA,NA,NA,NA,NA,224_1,NA,NA,5,99.72,99.35,NA,NA
coasm_bin.259.fa,75.03039055381556,NA,NA,NA,NA,NA,225_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.393.fa,82.13555107783947,NA,NA,NA,NA,NA,226_1,NA,NA,2,99.51,99.51,NA,NA
coasm_bin.539.fa,102.87752104180036,NA,NA,NA,NA,NA,227_1,NA,NA,4,99.99,99.95,NA,NA
coasm_bin.125.fa,45.52286563570084,NA,NA,NA,NA,NA,228_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.383.fa,87.34415249439274,NA,NA,NA,NA,NA,229_1,NA,NA,2,99.93,99.93,NA,NA
coasm_bin.407.fa,89.9622301744901,NA,NA,NA,NA,NA,230_1,NA,NA,2,99.84,99.84,NA,NA
coasm_bin.221.fa,85.4614929931965,NA,NA,NA,NA,NA,231_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.188.fa,93.62392971199542,NA,NA,NA,NA,NA,232_1,NA,NA,3,99.89,99.85,NA,NA
coasm_bin.579.fa,103.10893609588273,NA,NA,NA,NA,NA,233_1,NA,NA,3,99.99,99.86,NA,NA
coasm_bin.312.fa,95.94237721015996,NA,NA,NA,NA,NA,234_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.40.fa,103.0330283808756,NA,NA,NA,NA,NA,235_1,NA,NA,5,99.98,99.97,NA,NA
coasm_bin.213.fa,87.82722621308062,NA,NA,NA,NA,NA,236_1,NA,NA,2,99.83,99.83,NA,NA
coasm_bin.268.fa,76.24122020521351,NA,NA,NA,NA,NA,237_1,NA,NA,2,99.75,99.75,NA,NA
CAN_5_bin.149.fa,81.08232939938277,NA,NA,NA,NA,NA,238_1,NA,NA,2,99.92,99.92,NA,NA
coasm_bin.135.fa,67.2330199282849,NA,NA,NA,NA,NA,239_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.322.fa,74.11524353039518,NA,NA,NA,NA,NA,240_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.521.fa,102.53800970678428,NA,NA,NA,NA,NA,241_1,NA,NA,2,99.94,99.94,NA,NA
coasm_bin.132.fa,101.27505655755384,NA,NA,NA,NA,NA,242_1,NA,NA,4,99.97,99.83,NA,NA
coasm_bin.53.fa,101.4824796824939,NA,NA,NA,NA,NA,243_1,NA,NA,3,99.99,99.99,NA,NA
coasm_bin.409.fa,61.63596499893727,NA,NA,NA,NA,NA,244_0,NA,NA,1,NA,NA,NA,NA
CAN_5_bin.112.fa,103.10258656064028,NA,NA,NA,NA,NA,245_1,NA,NA,2,100.00,100.00,NA,NA
coasm_bin.314.fa,96.9342633427326,NA,NA,NA,NA,NA,246_1,NA,NA,2,99.98,99.98,NA,NA
coasm_bin.114.fa,89.7210732652954,NA,NA,NA,NA,NA,247_1,NA,NA,2,99.64,99.64,NA,NA
coasm_bin.286.fa,94.49033541870628,NA,NA,NA,NA,NA,248_1,NA,NA,2,99.68,99.68,NA,NA
CAN_5_bin.173.fa,95.68737012848707,NA,NA,NA,NA,NA,249_1,NA,NA,2,99.60,99.60,NA,NA
coasm_bin.362.fa,63.2124392297051,NA,NA,NA,NA,NA,250_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.373.fa,102.9597806860023,NA,NA,NA,NA,NA,251_1,NA,NA,4,100.00,100.00,NA,NA
coasm_bin.551.fa,103.04176277723845,NA,NA,NA,NA,NA,252_1,NA,NA,3,99.90,99.85,NA,NA
coasm_bin.156.fa,101.6258308769257,NA,NA,NA,NA,NA,253_1,NA,NA,4,100.00,99.67,NA,NA
coasm_bin.121.fa,95.65139745460247,NA,NA,NA,NA,NA,254_1,NA,NA,3,99.70,99.26,NA,NA
coasm_bin.133.fa,60.26295405668113,NA,NA,NA,NA,NA,255_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.364.fa,103.26447955911895,NA,NA,NA,NA,NA,256_1,NA,NA,3,99.99,99.98,NA,NA
coasm_bin.117.fa,46.32278142839778,NA,NA,NA,NA,NA,257_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.548.fa,58.47131596378611,NA,NA,NA,NA,NA,258_0,NA,NA,1,NA,NA,NA,NA
CAN_3_bin.205.fa,102.2031518779811,NA,NA,NA,NA,NA,259_1,NA,NA,4,99.99,99.90,NA,NA
CAN_5_bin.147.fa,103.31731955255248,NA,NA,NA,NA,NA,260_1,NA,NA,6,99.95,98.97,NA,NA
coasm_bin.492.fa,78.0325841741595,NA,NA,NA,NA,NA,261_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.61.fa,100.39501303524467,NA,NA,NA,NA,NA,262_1,NA,NA,4,99.82,99.74,NA,NA
CAN_4_bin.112.fa,87.0679825179839,NA,NA,NA,NA,NA,263_1,NA,NA,2,99.91,99.91,NA,NA
coasm_bin.400.fa,96.69756392078727,NA,NA,NA,NA,NA,264_1,NA,NA,2,99.55,99.55,NA,NA
coasm_bin.209.fa,50.68906264263831,NA,NA,NA,NA,NA,265_0,NA,NA,1,NA,NA,NA,NA
coasm_bin.447.fa,72.40284181333212,NA,NA,NA,NA,NA,266_0,NA,NA,1,NA,NA,NA,NA
