MAG,Denitrification_genes_present,Denitrification_genes_total,Denitrification_completeness,Denitrification_present_list,Denitrification_absent_list,Nitrogen_other_genes_present,Nitrogen_other_genes_total,Nitrogen_other_completeness,Nitrogen_other_present_list,Nitrogen_other_absent_list,PolyP_genes_present,PolyP_genes_total,PolyP_completeness,PolyP_present_list,PolyP_absent_list,Phosphate_genes_present,Phosphate_genes_total,Phosphate_completeness,Phosphate_present_list,Phosphate_absent_list,PHA_genes_present,PHA_genes_total,PHA_completeness,PHA_present_list,PHA_absent_list,Acetate_genes_present,Acetate_genes_total,Acetate_completeness,Acetate_present_list,Acetate_absent_list,Propionate_PHV_genes_present,Propionate_PHV_genes_total,Propionate_PHV_completeness,Propionate_PHV_present_list,Propionate_PHV_absent_list,Glycogen_genes_present,Glycogen_genes_total,Glycogen_completeness,Glycogen_present_list,Glycogen_absent_list
CAN_4_bin.236,6,10,6/10,napA(1); napB(1); nirS(2); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(1); phoB(1); phoR(1); phoU(1),,4,4,4/4,phaA(4); phaB(4); phaC(3); phaZ(2),,2,3,2/3,ackA(2); acs(2),pta,2,5,2/5,prpE(1); mcmA(1),prpC; prpD; mcmB,4,5,4/5,glgC(2); glgA(1); glgP(2); glgX(2),glgB
CAN_4_bin.238,4,10,4/10,nirK(1); norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,2,8,2/8,pit(1); phoR(4),pstS; pstC; pstA; pstB; phoB; phoU,3,4,3/4,phaA(1); phaB(1); phaC(1),phaZ,1,3,1/3,acs(1),pta; ackA,2,5,2/5,prpE(1); mcmA(2),prpC; prpD; mcmB,4,5,4/5,glgC(2); glgA(1); glgP(2); glgX(1),glgB
CAN_4_bin.25,7,10,7/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1); nirS(1); norB(1); norC(1); nosZ(1),napA; napB; nirK,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,8,8,8/8,pstS(4); pstC(1); pstA(1); pstB(1); pit(1); phoB(1); phoR(2); phoU(2),,3,4,3/4,phaA(2); phaB(1); phaC(5),phaZ,3,3,3/3,pta(2); ackA(1); acs(2),,3,5,3/5,prpE(2); mcmA(3); mcmB(2),prpC; prpD,5,5,5/5,glgC(1); glgA(4); glgB(1); glgP(1); glgX(1),
CAN_4_bin.35,4,10,4/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1); norB(1),napA; napB; nirS; nirK; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,7,8,7/8,pstS(1); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,4,4,4/4,phaA(4); phaB(1); phaC(1); phaZ(1),,1,3,1/3,acs(1),pta; ackA,1,5,1/5,mcmA(1),prpC; prpD; prpE; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_4_bin.38,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk2(1),ppk; ppx,4,8,4/8,pstS(3); pit(6); phoB(1); phoU(1),pstC; pstA; pstB; phoR,1,4,1/4,phaA(1),phaB; phaC; phaZ,1,3,1/3,ackA(1),pta; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,5,5,5/5,glgC(1); glgA(1); glgB(1); glgP(2); glgX(2),
CAN_4_bin.44,5,10,5/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1); nirK(1); nosZ(1),napA; napB; nirS; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(2),ppx,8,8,8/8,pstS(2); pstC(1); pstA(1); pstB(1); pit(11); phoB(2); phoR(1); phoU(2),,4,4,4/4,phaA(11); phaB(2); phaC(2); phaZ(1),,1,3,1/3,acs(4),pta; ackA,3,5,3/5,prpE(1); mcmA(2); mcmB(1),prpC; prpD,3,5,3/5,glgC(1); glgA(1); glgP(1),glgB; glgX
CAN_4_bin.62,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,1,4,1/4,nirD(1),nirB; nrfA; nrfH,1,3,1/3,ppk2(3),ppk; ppx,5,8,5/8,pstS(2); pstC(2); pstA(2); pstB(2); pit(4),phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,2,5,2/5,mcmA(1); mcmB(1),prpC; prpD; prpE,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_4_bin.64,2,10,2/10,nirS(2); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirK; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,7,8,7/8,pstS(3); pstC(2); pstA(2); pstB(3); phoB(1); phoR(1); phoU(2),pit,3,4,3/4,phaA(3); phaC(2); phaZ(2),phaB,3,3,3/3,pta(1); ackA(1); acs(2),,4,5,4/5,prpC(1); prpD(1); prpE(1); mcmA(1),mcmB,4,5,4/5,glgC(1); glgA(3); glgP(2); glgX(2),glgB
CAN_4_bin.70,3,10,3/10,narH/narY/nxrB(1); nirS(1); nirK(2),narG/narZ/nxrA; narI/narV; napA; napB; norB; norC; nosZ,2,4,2/4,nrfA(2); nrfH(1),nirB; nirD,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(3); pstC(1); pstA(1); pstB(1); pit(8); phoB(2); phoR(3),phoU,2,4,2/4,phaA(2); phaB(1),phaC; phaZ,2,3,2/3,pta(1); acs(1),ackA,1,5,1/5,mcmB(2),prpC; prpD; prpE; mcmA,3,5,3/5,glgC(1); glgA(1); glgP(3),glgB; glgX
CAN_4_bin.72,6,10,6/10,narG/narZ/nxrA(3); narH/narY/nxrB(2); narI/narV(3); nirS(1); norB(2); norC(1),napA; napB; nirK; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(5); ppk2(3),ppx,7,8,7/8,pstS(7); pstC(3); pstA(3); pstB(4); phoB(1); phoR(1); phoU(1),pit,3,4,3/4,phaA(1); phaB(2); phaC(5),phaZ,3,3,3/3,pta(2); ackA(5); acs(1),,2,5,2/5,prpE(1); mcmA(5),prpC; prpD; mcmB,2,5,2/5,glgA(3); glgX(4),glgC; glgB; glgP
CAN_4_bin.76,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_4_bin.92,1,10,1/10,nirK(3),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,6,8,6/8,pstC(1); pstA(2); pstB(1); pit(9); phoB(2); phoR(3),pstS; phoU,1,4,1/4,phaA(4),phaB; phaC; phaZ,1,3,1/3,acs(2),pta; ackA,1,5,1/5,mcmB(1),prpC; prpD; prpE; mcmA,2,5,2/5,glgC(1); glgX(1),glgA; glgB; glgP
CAN_5_bin.1,3,10,3/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1),napA; napB; nirS; nirK; norB; norC; nosZ,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(10); phoB(1); phoR(1); phoU(1),,4,4,4/4,phaA(4); phaB(1); phaC(1); phaZ(1),,1,3,1/3,acs(3),pta; ackA,2,5,2/5,prpE(1); mcmA(2),prpC; prpD; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_5_bin.100,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,1,4,1/4,nrfA(2),nirB; nirD; nrfH,1,3,1/3,ppk(1),ppk2; ppx,6,8,6/8,pstS(2); pstC(2); pstA(1); pstB(1); phoR(4); phoU(1),pit; phoB,1,4,1/4,phaA(1),phaB; phaC; phaZ,1,3,1/3,acs(2),pta; ackA,1,5,1/5,mcmB(2),prpC; prpD; prpE; mcmA,4,5,4/5,glgC(1); glgA(1); glgB(1); glgP(2),glgX
CAN_5_bin.106,5,10,5/10,narG/narZ/nxrA(2); narH/narY/nxrB(1); narI/narV(1); norB(1); norC(1),napA; napB; nirS; nirK; nosZ,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(2); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(2),pit,3,4,3/4,phaA(2); phaB(1); phaC(5),phaZ,3,3,3/3,pta(1); ackA(1); acs(2),,2,5,2/5,mcmA(6); mcmB(1),prpC; prpD; prpE,5,5,5/5,glgC(1); glgA(2); glgB(1); glgP(1); glgX(2),
CAN_5_bin.112,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk2(1),ppk; ppx,2,8,2/8,pstS(1); phoR(3),pstC; pstA; pstB; pit; phoB; phoU,1,4,1/4,phaA(2),phaB; phaC; phaZ,2,3,2/3,ackA(1); acs(1),pta,1,5,1/5,mcmB(1),prpC; prpD; prpE; mcmA,3,5,3/5,glgC(2); glgA(2); glgP(1),glgB; glgX
CAN_5_bin.145,2,10,2/10,nirK(3); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(2); phoR(2),pstC; pstA; pstB; phoB; phoU,1,4,1/4,phaA(1),phaB; phaC; phaZ,1,3,1/3,acs(1),pta; ackA,1,5,1/5,mcmA(2),prpC; prpD; prpE; mcmB,3,5,3/5,glgC(1); glgA(1); glgP(1),glgB; glgX
CAN_5_bin.146,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_5_bin.147,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(1); phoR(4),pstC; pstA; pstB; phoB; phoU,1,4,1/4,phaA(1),phaB; phaC; phaZ,1,3,1/3,acs(1),pta; ackA,2,5,2/5,prpE(1); mcmB(1),prpC; prpD; mcmA,3,5,3/5,glgC(2); glgA(1); glgP(1),glgB; glgX
CAN_5_bin.149,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(2); phoR(4),pstC; pstA; pstB; phoB; phoU,3,4,3/4,phaA(3); phaB(2); phaC(2),phaZ,1,3,1/3,acs(3),pta; ackA,2,5,2/5,prpE(2); mcmB(1),prpC; prpD; mcmA,4,5,4/5,glgC(1); glgA(1); glgB(1); glgX(2),glgP
CAN_5_bin.150,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,1,8,1/8,pit(1),pstS; pstC; pstA; pstB; phoB; phoR; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,1,3,1/3,ackA(1),pta; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_5_bin.167,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,3,4,3/4,nirD(1); nrfA(8); nrfH(2),nirB,2,3,2/3,ppk(2); ppk2(1),ppx,7,8,7/8,pstS(2); pstC(1); pstA(1); pstB(2); pit(5); phoR(2); phoU(1),phoB,1,4,1/4,phaA(2),phaB; phaC; phaZ,1,3,1/3,acs(3),pta; ackA,2,5,2/5,mcmA(1); mcmB(2),prpC; prpD; prpE,1,5,1/5,glgA(2),glgC; glgB; glgP; glgX
CAN_5_bin.169,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,1,4,1/4,nirD(1),nirB; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,5,8,5/8,pstS(6); pstC(1); pstA(2); pstB(1); phoR(2),pit; phoB; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,3,5,3/5,glgA(2); glgP(1); glgX(5),glgC; glgB
CAN_5_bin.173,1,10,1/10,nirK(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(1); phoR(4),pstC; pstA; pstB; phoB; phoU,2,4,2/4,phaA(2); phaB(1),phaC; phaZ,1,3,1/3,acs(2),pta; ackA,1,5,1/5,mcmA(2),prpC; prpD; prpE; mcmB,1,5,1/5,glgC(1),glgA; glgB; glgP; glgX
CAN_5_bin.177,2,10,2/10,nirS(1); norB(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirK; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(1); phoB(1); phoR(1); phoU(1),,4,4,4/4,phaA(2); phaB(2); phaC(1); phaZ(1),,1,3,1/3,acs(1),pta; ackA,2,5,2/5,prpC(1); prpE(1),prpD; mcmA; mcmB,3,5,3/5,glgA(1); glgP(1); glgX(2),glgC; glgB
CAN_5_bin.180,5,10,5/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1); nirS(3); nirK(1),napA; napB; norB; norC; nosZ,4,4,4/4,nirB(4); nirD(1); nrfA(1); nrfH(2),,2,3,2/3,ppk(1); ppk2(2),ppx,8,8,8/8,pstS(1); pstC(1); pstA(2); pstB(3); pit(7); phoB(1); phoR(1); phoU(1),,1,4,1/4,phaA(5),phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,2,5,2/5,mcmA(1); mcmB(1),prpC; prpD; prpE,2,5,2/5,glgC(2); glgP(1),glgA; glgB; glgX
CAN_5_bin.2,3,10,3/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1),napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,0,8,0/8,,pstS; pstC; pstA; pstB; pit; phoB; phoR; phoU,4,4,4/4,phaA(1); phaB(1); phaC(2); phaZ(1),,1,3,1/3,ackA(1),pta; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_5_bin.40,7,10,7/10,narG/narZ/nxrA(1); narH/narY/nxrB(1); narI/narV(1); nirS(1); norB(2); norC(2); nosZ(1),napA; napB; nirK,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk(2),ppk2; ppx,8,8,8/8,pstS(2); pstC(1); pstA(1); pstB(1); pit(5); phoB(1); phoR(1); phoU(1),,4,4,4/4,phaA(9); phaB(1); phaC(1); phaZ(2),,3,3,3/3,pta(1); ackA(1); acs(1),,2,5,2/5,prpC(1); prpE(1),prpD; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_5_bin.52,2,10,2/10,napA(1); napB(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirS; nirK; norB; norC; nosZ,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(1); ppk2(1),ppx,6,8,6/8,pstS(1); pstC(1); pstA(1); pstB(1); phoB(1); phoU(1),pit; phoR,3,4,3/4,phaA(4); phaC(3); phaZ(1),phaB,1,3,1/3,acs(4),pta; ackA,2,5,2/5,prpE(1); mcmA(2),prpC; prpD; mcmB,4,5,4/5,glgC(1); glgA(1); glgP(1); glgX(1),glgB
CAN_5_bin.62,2,10,2/10,nirK(8); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC,3,4,3/4,nirD(1); nrfA(1); nrfH(1),nirB,1,3,1/3,ppk(2),ppk2; ppx,8,8,8/8,pstS(2); pstC(1); pstA(4); pstB(2); pit(23); phoB(1); phoR(3); phoU(1),,1,4,1/4,phaA(4),phaB; phaC; phaZ,1,3,1/3,acs(3),pta; ackA,2,5,2/5,mcmA(2); mcmB(2),prpC; prpD; prpE,4,5,4/5,glgC(1); glgA(5); glgP(3); glgX(1),glgB
CAN_5_bin.70,4,10,4/10,napA(1); napB(1); nirS(2); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirK; norB; norC,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,2,3,2/3,ppk(2); ppk2(3),ppx,1,8,1/8,pstS(2),pstC; pstA; pstB; pit; phoB; phoR; phoU,3,4,3/4,phaA(3); phaB(1); phaC(5),phaZ,2,3,2/3,ackA(2); acs(2),pta,2,5,2/5,prpE(1); mcmA(1),prpC; prpD; mcmB,4,5,4/5,glgC(1); glgA(1); glgP(1); glgX(1),glgB
CAN_5_bin.9,1,10,1/10,nirK(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC; nosZ,4,4,4/4,nirB(2); nirD(1); nrfA(1); nrfH(1),,1,3,1/3,ppk(1),ppk2; ppx,8,8,8/8,pstS(3); pstC(3); pstA(3); pstB(3); pit(12); phoB(2); phoR(3); phoU(2),,1,4,1/4,phaA(4),phaB; phaC; phaZ,1,3,1/3,acs(2),pta; ackA,2,5,2/5,mcmA(1); mcmB(2),prpC; prpD; prpE,4,5,4/5,glgC(1); glgB(2); glgP(1); glgX(1),glgA
CAN_5_bin.90,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk2(1),ppk; ppx,1,8,1/8,phoR(1),pstS; pstC; pstA; pstB; pit; phoB; phoU,0,4,0/4,,phaA; phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
CAN_5_bin.97,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(1); pstC(1); pstA(1); pstB(1); phoB(1); phoR(1); phoU(1),pit,4,4,4/4,phaA(2); phaB(1); phaC(5); phaZ(2),,2,3,2/3,ackA(1); acs(1),pta,1,5,1/5,mcmA(1),prpC; prpD; prpE; mcmB,0,5,0/5,,glgC; glgA; glgB; glgP; glgX
coasm_bin.10,4,10,4/10,nirS(1); nirK(2); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; norB,3,4,3/4,nirD(1); nrfA(1); nrfH(1),nirB,2,3,2/3,ppk(1); ppk2(1),ppx,8,8,8/8,pstS(2); pstC(3); pstA(3); pstB(5); pit(9); phoB(4); phoR(2); phoU(3),,1,4,1/4,phaA(6),phaB; phaC; phaZ,2,3,2/3,ackA(1); acs(1),pta,3,5,3/5,prpE(1); mcmA(1); mcmB(1),prpC; prpD,4,5,4/5,glgC(1); glgA(2); glgP(1); glgX(1),glgB
coasm_bin.103,2,10,2/10,nirK(5); norC(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,7,8,7/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(9); phoB(1); phoR(2),phoU,1,4,1/4,phaA(2),phaB; phaC; phaZ,1,3,1/3,acs(2),pta; ackA,1,5,1/5,mcmB(2),prpC; prpD; prpE; mcmA,2,5,2/5,glgA(1); glgP(1),glgC; glgB; glgX
coasm_bin.105,4,10,4/10,nirK(2); norB(2); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(5),ppx,7,8,7/8,pstS(2); pstC(1); pstA(1); pstB(1); pit(12); phoR(1); phoU(1),phoB,2,4,2/4,phaA(4); phaB(1),phaC; phaZ,2,3,2/3,pta(2); acs(2),ackA,1,5,1/5,mcmA(2),prpC; prpD; prpE; mcmB,4,5,4/5,glgC(1); glgA(1); glgP(1); glgX(2),glgB
coasm_bin.108,4,10,4/10,nirS(2); norB(2); norC(2); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirK,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(2),ppx,8,8,8/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(12); phoB(1); phoR(2); phoU(1),,4,4,4/4,phaA(5); phaB(1); phaC(1); phaZ(1),,2,3,2/3,ackA(1); acs(5),pta,2,5,2/5,prpE(3); mcmA(2),prpC; prpD; mcmB,4,5,4/5,glgC(2); glgA(1); glgP(1); glgX(1),glgB
coasm_bin.110,4,10,4/10,nirS(1); norB(2); norC(3); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirK,2,4,2/4,nirB(1); nirD(1),nrfA; nrfH,1,3,1/3,ppk2(3),ppk; ppx,2,8,2/8,pstS(1); phoR(1),pstC; pstA; pstB; pit; phoB; phoU,2,4,2/4,phaA(5); phaB(1),phaC; phaZ,1,3,1/3,acs(2),pta; ackA,1,5,1/5,mcmA(1),prpC; prpD; prpE; mcmB,2,5,2/5,glgP(2); glgX(4),glgC; glgA; glgB
coasm_bin.112,1,10,1/10,norC(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,0,3,0/3,,ppk; ppk2; ppx,1,8,1/8,pit(1),pstS; pstC; pstA; pstB; phoB; phoR; phoU,1,4,1/4,phaA(1),phaB; phaC; phaZ,1,3,1/3,acs(1),pta; ackA,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,1,5,1/5,glgC(1),glgA; glgB; glgP; glgX
coasm_bin.114,1,10,1/10,nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(2); phoR(4),pstC; pstA; pstB; phoB; phoU,3,4,3/4,phaA(2); phaB(1); phaC(1),phaZ,1,3,1/3,acs(1),pta; ackA,2,5,2/5,prpE(1); mcmA(5),prpC; prpD; mcmB,1,5,1/5,glgC(1),glgA; glgB; glgP; glgX
coasm_bin.115,1,10,1/10,nirK(3),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; norB; norC; nosZ,2,4,2/4,nrfA(1); nrfH(1),nirB; nirD,0,3,0/3,,ppk; ppk2; ppx,7,8,7/8,pstS(2); pstC(1); pstA(2); pstB(2); pit(9); phoB(1); phoR(2),phoU,1,4,1/4,phaA(3),phaB; phaC; phaZ,1,3,1/3,acs(1),pta; ackA,0,5,0/5,,prpC; prpD; prpE; mcmA; mcmB,1,5,1/5,glgA(1),glgC; glgB; glgP; glgX
coasm_bin.117,0,10,0/10,,narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(1); phoR(3),pstC; pstA; pstB; phoB; phoU,1,4,1/4,phaA(1),phaB; phaC; phaZ,0,3,0/3,,pta; ackA; acs,3,5,3/5,prpE(1); mcmA(1); mcmB(3),prpC; prpD,2,5,2/5,glgC(2); glgA(2),glgB; glgP; glgX
coasm_bin.118,2,10,2/10,napA(1); napB(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; nirS; nirK; norB; norC; nosZ,0,4,0/4,,nirB; nirD; nrfA; nrfH,2,3,2/3,ppk(1); ppk2(2),ppx,8,8,8/8,pstS(1); pstC(1); pstA(1); pstB(1); pit(14); phoB(1); phoR(1); phoU(1),,4,4,4/4,phaA(4); phaB(1); phaC(1); phaZ(2),,1,3,1/3,acs(3),pta; ackA,2,5,2/5,prpE(1); mcmA(2),prpC; prpD; mcmB,3,5,3/5,glgC(1); glgA(2); glgP(1),glgB; glgX
coasm_bin.121,3,10,3/10,norB(1); norC(1); nosZ(1),narG/narZ/nxrA; narH/narY/nxrB; narI/narV; napA; napB; nirS; nirK,0,4,0/4,,nirB; nirD; nrfA; nrfH,1,3,1/3,ppk(1),ppk2; ppx,3,8,3/8,pstS(1); pit(3); phoR(2),pstC; pstA; pstB; phoB; phoU,3,4,3/4,phaA(1); phaB(1); phaC(1),phaZ,1,3,1/3,acs(1),pta; ackA,1,5,1/5,mcmA(2),prpC; prpD; prpE; mcmB,1,5,1/5,glgC(1),glgA; glgB; glgP; glgX
