genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
CAN_1_bin.74.fa,174_1,0.050000000000000044,average,skani,174
CAN_2_bin.48.fa,174_1,0.050000000000000044,average,skani,174
CAN_3_bin.177.fa,174_1,0.050000000000000044,average,skani,174
CAN_4_bin.231.fa,174_1,0.050000000000000044,average,skani,174
CAN_5_bin.40.fa,174_1,0.050000000000000044,average,skani,174
coasm_bin.113.fa,174_1,0.050000000000000044,average,skani,174
coasm_bin.249.fa,175_0,0.050000000000000044,average,skani,175
CAN_1_bin.115.fa,176_1,0.050000000000000044,average,skani,176
CAN_2_bin.12.fa,176_1,0.050000000000000044,average,skani,176
CAN_3_bin.56.fa,176_1,0.050000000000000044,average,skani,176
CAN_4_bin.32.fa,176_1,0.050000000000000044,average,skani,176
CAN_5_bin.86.fa,176_1,0.050000000000000044,average,skani,176
coasm_bin.2.fa,176_1,0.050000000000000044,average,skani,176
coasm_bin.51.fa,177_0,0.050000000000000044,average,skani,177
coasm_bin.563.fa,178_0,0.050000000000000044,average,skani,178
coasm_bin.255.fa,179_0,0.050000000000000044,average,skani,179
CAN_1_bin.88.fa,180_1,0.050000000000000044,average,skani,180
CAN_2_bin.155.fa,180_1,0.050000000000000044,average,skani,180
CAN_3_bin.216.fa,180_1,0.050000000000000044,average,skani,180
coasm_bin.415.fa,180_1,0.050000000000000044,average,skani,180
CAN_1_bin.43.fa,181_1,0.050000000000000044,average,skani,181
CAN_2_bin.23.fa,181_1,0.050000000000000044,average,skani,181
CAN_3_bin.15.fa,181_1,0.050000000000000044,average,skani,181
coasm_bin.475.fa,181_1,0.050000000000000044,average,skani,181
CAN_1_bin.104.fa,182_1,0.050000000000000044,average,skani,182
CAN_2_bin.64.fa,182_1,0.050000000000000044,average,skani,182
CAN_3_bin.210.fa,182_1,0.050000000000000044,average,skani,182
coasm_bin.222.fa,182_1,0.050000000000000044,average,skani,182
CAN_2_bin.173.fa,183_1,0.050000000000000044,average,skani,183
CAN_3_bin.107.fa,183_1,0.050000000000000044,average,skani,183
coasm_bin.427.fa,183_1,0.050000000000000044,average,skani,183
coasm_bin.171.fa,184_0,0.050000000000000044,average,skani,184
coasm_bin.335.fa,185_0,0.050000000000000044,average,skani,185
CAN_5_bin.129.fa,186_1,0.050000000000000044,average,skani,186
coasm_bin.265.fa,186_1,0.050000000000000044,average,skani,186
CAN_5_bin.97.fa,187_1,0.050000000000000044,average,skani,187
coasm_bin.216.fa,187_1,0.050000000000000044,average,skani,187
coasm_bin.223.fa,187_2,0.050000000000000044,average,skani,187
CAN_3_bin.17.fa,188_1,0.050000000000000044,average,skani,188
CAN_4_bin.208.fa,188_1,0.050000000000000044,average,skani,188
coasm_bin.565.fa,188_1,0.050000000000000044,average,skani,188
CAN_1_bin.12.fa,189_1,0.050000000000000044,average,skani,189
CAN_2_bin.33.fa,189_1,0.050000000000000044,average,skani,189
CAN_3_bin.208.fa,189_1,0.050000000000000044,average,skani,189
coasm_bin.346.fa,189_1,0.050000000000000044,average,skani,189
CAN_4_bin.195.fa,190_1,0.050000000000000044,average,skani,190
coasm_bin.232.fa,190_1,0.050000000000000044,average,skani,190
CAN_1_bin.172.fa,191_1,0.050000000000000044,average,skani,191
CAN_2_bin.88.fa,191_1,0.050000000000000044,average,skani,191
CAN_3_bin.202.fa,191_1,0.050000000000000044,average,skani,191
CAN_4_bin.30.fa,191_1,0.050000000000000044,average,skani,191
CAN_5_bin.70.fa,191_1,0.050000000000000044,average,skani,191
coasm_bin.256.fa,192_0,0.050000000000000044,average,skani,192
coasm_bin.529.fa,193_0,0.050000000000000044,average,skani,193
CAN_1_bin.203.fa,194_1,0.050000000000000044,average,skani,194
coasm_bin.15.fa,194_1,0.050000000000000044,average,skani,194
CAN_1_bin.10.fa,195_1,0.050000000000000044,average,skani,195
CAN_2_bin.6.fa,195_1,0.050000000000000044,average,skani,195
CAN_3_bin.176.fa,195_1,0.050000000000000044,average,skani,195
CAN_4_bin.40.fa,195_1,0.050000000000000044,average,skani,195
coasm_bin.38.fa,195_1,0.050000000000000044,average,skani,195
coasm_bin.214.fa,196_0,0.050000000000000044,average,skani,196
CAN_2_bin.129.fa,197_1,0.050000000000000044,average,skani,197
CAN_4_bin.236.fa,197_1,0.050000000000000044,average,skani,197
coasm_bin.208.fa,198_0,0.050000000000000044,average,skani,198
coasm_bin.246.fa,199_0,0.050000000000000044,average,skani,199
CAN_1_bin.135.fa,200_1,0.050000000000000044,average,skani,200
CAN_2_bin.104.fa,200_1,0.050000000000000044,average,skani,200
CAN_3_bin.227.fa,200_1,0.050000000000000044,average,skani,200
coasm_bin.1.fa,200_1,0.050000000000000044,average,skani,200
CAN_5_bin.2.fa,201_1,0.050000000000000044,average,skani,201
coasm_bin.4.fa,201_1,0.050000000000000044,average,skani,201
CAN_4_bin.210.fa,202_1,0.050000000000000044,average,skani,202
CAN_5_bin.170.fa,202_1,0.050000000000000044,average,skani,202
coasm_bin.484.fa,202_1,0.050000000000000044,average,skani,202
coasm_bin.290.fa,203_0,0.050000000000000044,average,skani,203
coasm_bin.547.fa,204_0,0.050000000000000044,average,skani,204
CAN_4_bin.157.fa,205_1,0.050000000000000044,average,skani,205
coasm_bin.84.fa,205_1,0.050000000000000044,average,skani,205
CAN_1_bin.5.fa,206_1,0.050000000000000044,average,skani,206
CAN_2_bin.32.fa,206_1,0.050000000000000044,average,skani,206
CAN_3_bin.69.fa,206_1,0.050000000000000044,average,skani,206
CAN_4_bin.135.fa,206_1,0.050000000000000044,average,skani,206
CAN_5_bin.141.fa,206_1,0.050000000000000044,average,skani,206
coasm_bin.562.fa,206_1,0.050000000000000044,average,skani,206
coasm_bin.336.fa,207_0,0.050000000000000044,average,skani,207
coasm_bin.82.fa,208_0,0.050000000000000044,average,skani,208
coasm_bin.92.fa,209_0,0.050000000000000044,average,skani,209
coasm_bin.495.fa,210_0,0.050000000000000044,average,skani,210
CAN_5_bin.90.fa,211_1,0.050000000000000044,average,skani,211
coasm_bin.80.fa,211_1,0.050000000000000044,average,skani,211
CAN_1_bin.174.fa,211_2,0.050000000000000044,average,skani,211
CAN_2_bin.146.fa,211_2,0.050000000000000044,average,skani,211
CAN_3_bin.185.fa,211_2,0.050000000000000044,average,skani,211
CAN_4_bin.4.fa,211_2,0.050000000000000044,average,skani,211
CAN_5_bin.59.fa,211_2,0.050000000000000044,average,skani,211
coasm_bin.59.fa,211_2,0.050000000000000044,average,skani,211
CAN_1_bin.189.fa,212_1,0.050000000000000044,average,skani,212
CAN_3_bin.29.fa,212_1,0.050000000000000044,average,skani,212
CAN_4_bin.134.fa,212_1,0.050000000000000044,average,skani,212
CAN_5_bin.146.fa,212_1,0.050000000000000044,average,skani,212
coasm_bin.508.fa,212_1,0.050000000000000044,average,skani,212
CAN_2_bin.111.fa,213_1,0.050000000000000044,average,skani,213
CAN_3_bin.196.fa,213_1,0.050000000000000044,average,skani,213
coasm_bin.74.fa,213_1,0.050000000000000044,average,skani,213
CAN_1_bin.180.fa,214_1,0.050000000000000044,average,skani,214
CAN_3_bin.159.fa,214_1,0.050000000000000044,average,skani,214
coasm_bin.356.fa,214_1,0.050000000000000044,average,skani,214
coasm_bin.479.fa,215_0,0.050000000000000044,average,skani,215
CAN_1_bin.2.fa,216_1,0.050000000000000044,average,skani,216
CAN_3_bin.207.fa,216_1,0.050000000000000044,average,skani,216
CAN_4_bin.5.fa,216_1,0.050000000000000044,average,skani,216
CAN_5_bin.182.fa,216_1,0.050000000000000044,average,skani,216
coasm_bin.7.fa,216_1,0.050000000000000044,average,skani,216
CAN_1_bin.4.fa,217_1,0.050000000000000044,average,skani,217
CAN_2_bin.42.fa,217_1,0.050000000000000044,average,skani,217
CAN_3_bin.221.fa,217_1,0.050000000000000044,average,skani,217
CAN_4_bin.2.fa,217_1,0.050000000000000044,average,skani,217
CAN_5_bin.6.fa,217_1,0.050000000000000044,average,skani,217
coasm_bin.26.fa,217_1,0.050000000000000044,average,skani,217
CAN_5_bin.55.fa,218_1,0.050000000000000044,average,skani,218
coasm_bin.466.fa,218_1,0.050000000000000044,average,skani,218
CAN_5_bin.167.fa,218_2,0.050000000000000044,average,skani,218
CAN_4_bin.235.fa,219_1,0.050000000000000044,average,skani,219
coasm_bin.482.fa,219_1,0.050000000000000044,average,skani,219
CAN_4_bin.146.fa,220_1,0.050000000000000044,average,skani,220
CAN_5_bin.128.fa,220_1,0.050000000000000044,average,skani,220
coasm_bin.337.fa,220_1,0.050000000000000044,average,skani,220
CAN_4_bin.41.fa,221_1,0.050000000000000044,average,skani,221
coasm_bin.150.fa,221_1,0.050000000000000044,average,skani,221
CAN_4_bin.142.fa,222_0,0.050000000000000044,average,skani,222
coasm_bin.112.fa,223_0,0.050000000000000044,average,skani,223
CAN_1_bin.92.fa,224_1,0.050000000000000044,average,skani,224
CAN_3_bin.87.fa,224_1,0.050000000000000044,average,skani,224
CAN_4_bin.56.fa,224_1,0.050000000000000044,average,skani,224
CAN_5_bin.27.fa,224_1,0.050000000000000044,average,skani,224
coasm_bin.142.fa,224_1,0.050000000000000044,average,skani,224
coasm_bin.259.fa,225_0,0.050000000000000044,average,skani,225
CAN_4_bin.81.fa,226_1,0.050000000000000044,average,skani,226
coasm_bin.393.fa,226_1,0.050000000000000044,average,skani,226
CAN_1_bin.194.fa,227_1,0.050000000000000044,average,skani,227
CAN_2_bin.58.fa,227_1,0.050000000000000044,average,skani,227
CAN_3_bin.215.fa,227_1,0.050000000000000044,average,skani,227
coasm_bin.539.fa,227_1,0.050000000000000044,average,skani,227
coasm_bin.125.fa,228_0,0.050000000000000044,average,skani,228
CAN_4_bin.110.fa,229_1,0.050000000000000044,average,skani,229
coasm_bin.383.fa,229_1,0.050000000000000044,average,skani,229
CAN_4_bin.7.fa,230_1,0.050000000000000044,average,skani,230
coasm_bin.407.fa,230_1,0.050000000000000044,average,skani,230
coasm_bin.221.fa,231_0,0.050000000000000044,average,skani,231
CAN_4_bin.126.fa,232_1,0.050000000000000044,average,skani,232
CAN_5_bin.74.fa,232_1,0.050000000000000044,average,skani,232
coasm_bin.188.fa,232_1,0.050000000000000044,average,skani,232
CAN_4_bin.22.fa,233_1,0.050000000000000044,average,skani,233
CAN_5_bin.78.fa,233_1,0.050000000000000044,average,skani,233
coasm_bin.579.fa,233_1,0.050000000000000044,average,skani,233
coasm_bin.312.fa,234_0,0.050000000000000044,average,skani,234
CAN_1_bin.68.fa,235_1,0.050000000000000044,average,skani,235
CAN_2_bin.3.fa,235_1,0.050000000000000044,average,skani,235
CAN_3_bin.34.fa,235_1,0.050000000000000044,average,skani,235
CAN_4_bin.143.fa,235_1,0.050000000000000044,average,skani,235
coasm_bin.40.fa,235_1,0.050000000000000044,average,skani,235
CAN_5_bin.136.fa,236_1,0.050000000000000044,average,skani,236
coasm_bin.213.fa,236_1,0.050000000000000044,average,skani,236
CAN_3_bin.147.fa,237_1,0.050000000000000044,average,skani,237
coasm_bin.268.fa,237_1,0.050000000000000044,average,skani,237
CAN_5_bin.149.fa,238_1,0.050000000000000044,average,skani,238
coasm_bin.326.fa,238_1,0.050000000000000044,average,skani,238
coasm_bin.135.fa,239_0,0.050000000000000044,average,skani,239
coasm_bin.322.fa,240_0,0.050000000000000044,average,skani,240
CAN_4_bin.191.fa,241_1,0.050000000000000044,average,skani,241
coasm_bin.521.fa,241_1,0.050000000000000044,average,skani,241
CAN_1_bin.154.fa,242_1,0.050000000000000044,average,skani,242
CAN_2_bin.46.fa,242_1,0.050000000000000044,average,skani,242
CAN_3_bin.132.fa,242_1,0.050000000000000044,average,skani,242
coasm_bin.132.fa,242_1,0.050000000000000044,average,skani,242
CAN_4_bin.239.fa,243_1,0.050000000000000044,average,skani,243
CAN_5_bin.10.fa,243_1,0.050000000000000044,average,skani,243
coasm_bin.53.fa,243_1,0.050000000000000044,average,skani,243
coasm_bin.409.fa,244_0,0.050000000000000044,average,skani,244
CAN_4_bin.163.fa,245_1,0.050000000000000044,average,skani,245
CAN_5_bin.112.fa,245_1,0.050000000000000044,average,skani,245
CAN_5_bin.39.fa,246_1,0.050000000000000044,average,skani,246
coasm_bin.314.fa,246_1,0.050000000000000044,average,skani,246
CAN_3_bin.135.fa,247_1,0.050000000000000044,average,skani,247
coasm_bin.114.fa,247_1,0.050000000000000044,average,skani,247
CAN_1_bin.119.fa,248_1,0.050000000000000044,average,skani,248
coasm_bin.286.fa,248_1,0.050000000000000044,average,skani,248
CAN_5_bin.173.fa,249_1,0.050000000000000044,average,skani,249
coasm_bin.243.fa,249_1,0.050000000000000044,average,skani,249
coasm_bin.362.fa,250_0,0.050000000000000044,average,skani,250
CAN_4_bin.229.fa,251_1,0.050000000000000044,average,skani,251
CAN_5_bin.160.fa,251_1,0.050000000000000044,average,skani,251
CAN_5_bin.83.fa,251_1,0.050000000000000044,average,skani,251
coasm_bin.373.fa,251_1,0.050000000000000044,average,skani,251
CAN_1_bin.133.fa,252_1,0.050000000000000044,average,skani,252
CAN_4_bin.98.fa,252_1,0.050000000000000044,average,skani,252
coasm_bin.551.fa,252_1,0.050000000000000044,average,skani,252
CAN_1_bin.181.fa,253_1,0.050000000000000044,average,skani,253
CAN_3_bin.127.fa,253_1,0.050000000000000044,average,skani,253
CAN_4_bin.164.fa,253_1,0.050000000000000044,average,skani,253
coasm_bin.156.fa,253_1,0.050000000000000044,average,skani,253
CAN_2_bin.108.fa,254_1,0.050000000000000044,average,skani,254
CAN_3_bin.121.fa,254_1,0.050000000000000044,average,skani,254
coasm_bin.121.fa,254_1,0.050000000000000044,average,skani,254
coasm_bin.133.fa,255_0,0.050000000000000044,average,skani,255
CAN_2_bin.156.fa,256_1,0.050000000000000044,average,skani,256
CAN_3_bin.5.fa,256_1,0.050000000000000044,average,skani,256
coasm_bin.364.fa,256_1,0.050000000000000044,average,skani,256
coasm_bin.117.fa,257_0,0.050000000000000044,average,skani,257
coasm_bin.548.fa,258_0,0.050000000000000044,average,skani,258
CAN_1_bin.82.fa,259_1,0.050000000000000044,average,skani,259
CAN_2_bin.4.fa,259_1,0.050000000000000044,average,skani,259
CAN_3_bin.205.fa,259_1,0.050000000000000044,average,skani,259
coasm_bin.234.fa,259_1,0.050000000000000044,average,skani,259
CAN_1_bin.160.fa,260_1,0.050000000000000044,average,skani,260
CAN_2_bin.53.fa,260_1,0.050000000000000044,average,skani,260
CAN_3_bin.24.fa,260_1,0.050000000000000044,average,skani,260
CAN_4_bin.10.fa,260_1,0.050000000000000044,average,skani,260
CAN_5_bin.147.fa,260_1,0.050000000000000044,average,skani,260
coasm_bin.401.fa,260_1,0.050000000000000044,average,skani,260
coasm_bin.492.fa,261_0,0.050000000000000044,average,skani,261
CAN_1_bin.167.fa,262_1,0.050000000000000044,average,skani,262
CAN_2_bin.89.fa,262_1,0.050000000000000044,average,skani,262
CAN_3_bin.198.fa,262_1,0.050000000000000044,average,skani,262
coasm_bin.61.fa,262_1,0.050000000000000044,average,skani,262
CAN_4_bin.112.fa,263_1,0.050000000000000044,average,skani,263
coasm_bin.151.fa,263_1,0.050000000000000044,average,skani,263
CAN_1_bin.131.fa,264_1,0.050000000000000044,average,skani,264
coasm_bin.400.fa,264_1,0.050000000000000044,average,skani,264
coasm_bin.209.fa,265_0,0.050000000000000044,average,skani,265
coasm_bin.447.fa,266_0,0.050000000000000044,average,skani,266
