ko	root_iterativeID	n_MAGs	genus	CAN_1	CAN_2	CAN_3	CAN_4	CAN_5
K00688	JANWYT01_m	1	JANWYT01	1.3151	0.5199	0.4158	0.0000	0.0000
K00688	Leadbetterella_m	1	Leadbetterella	0.1578	0.0000	0.2138	1.1919	3.2738
K00688	GCA-2794515_m	2	GCA-2794515	1.9894	0.5243	1.1682	0.3006	0.1131
K00688	Sulfuritalea_m	1	Sulfuritalea	4.2822	0.8201	1.3889	1.1359	0.1551
K00688	JAIUNP01_m	1	JAIUNP01	0.2375	0.3130	0.2146	0.1794	0.1350
K00688	alphaI_cluster	1	GCA-013693735	0.5274	0.0000	0.7941	0.2656	0.0999
K00688	Bryobacter	3	JACTMJ01	2.3479	1.5039	1.3609	0.8090	0.1482
K00688	Cephaloticoccus	1	UBA2377	0.9912	0.9143	0.8060	0.7863	0.1409
K00688	SHZI01_m	2	SHZI01	1.4361	1.8895	1.0279	0.4895	0.0000
K00688	JADKFD01_m	1	JADKFD01	3.7751	2.5581	1.9477	0.8141	0.0612
K00688	UBA2287_m	1	UBA2287	0.1263	0.3329	0.6846	2.0039	1.0053
K00688	JAIOHN01_m	1	JAIOHN01	0.2865	0.1258	0.2588	3.4613	0.8677
K00688	midas_g_1409	1	M3007	1.4139	0.7166	1.1791	1.7256	0.0000
K00688	UBA9002_m	1	UBA9002	0.9504	0.1071	0.2202	1.0344	2.4596
K00688	UBA5195_m	1	UBA5195	0.0000	0.0000	0.2198	0.9192	1.3834
K00688	JAAFHL01_m	1	JAAFHL01	0.1631	1.0749	0.8843	0.0000	2.6897
K00688	Pseudorhodobacter	1	JAAKGP01	0.3263	2.5797	1.1791	0.9861	0.3710
K00688	Niabella	1	Niabella	2.4265	5.5953	3.8362	0.2292	0.0000
K00688	Gemmatimonas	1	JAABRT01	0.4063	0.5354	0.4195	0.0000	0.0000
K00688	GCA-013693735_m	1	GCA-013693735	0.2086	0.2061	0.3769	0.1576	0.4447
K00688	JACKCG01_m	1	JACKCG01	0.4350	0.5733	0.7861	2.3008	0.0000
K00688	Holophagaceae	1	Holophaga	0.2259	1.7080	1.6545	1.3013	0.0000
K00688	JALNZU01_m	1	JALNZU01	0.3091	1.3577	0.6516	0.2335	0.0586
K00688	midas_g_6489	1	UBA6170	0.0598	0.0000	0.0000	0.1808	0.3401
K00688	Paracoccus	1	Paracoccus	0.3226	0.0709	0.2915	0.1625	0.1528
K00688	Terrimicrobium	1	QYQL01	0.0000	0.0000	0.0000	0.4266	0.8712
K00688	Anaerolinea	1	Anaerolinea	0.1800	0.0790	0.0542	0.4985	0.0341
K00688	UBA2336_m	1	UBA2336	7.1783	2.9559	0.8106	1.6948	0.2551
K00688	UBA5072_m	1	UBA5072	0.0000	0.0000	0.0000	0.4151	0.4859
K00688	UBA5200_m	1	UBA5200	0.3055	0.6708	0.3220	0.1923	0.2026
K00688	Holophaga_m	1	Holophaga	0.0785	0.5631	0.5474	0.1614	0.8181
K00688	Shinella	1	Mesorhizobium_G	0.0000	0.8108	1.1117	0.0000	0.0000
K00688	ELB16-189_m	1	ELB16-189	3.0430	1.8506	1.6918	0.1768	0.0000
K00688	Defluviimonas	1	Albidovulum	0.0000	0.0000	0.0000	0.0422	0.3496
K00688	JAEUKH01_m	1	JAEUKH01	0.1655	0.0000	0.0374	0.1900	0.7817
K00688	IGN3_m	1	IGN3	0.0520	0.0000	0.0000	0.4716	0.1183
K00688	Sediminibacterium	1	Sediminibacterium	1.0255	2.3647	2.0845	0.0000	0.0729
K00688	GCA-2702655_m	1	GCA-2702655	0.0000	0.0000	0.0000	1.0862	0.3965
K00688	Prosthecobacter	1	Prosthecobacter	0.4570	0.0000	0.0000	1.3187	0.1299
K00688	GWE2-31-10_m	1		0.0000	0.0000	0.0000	0.0790	0.7132
K00688	JAFEBO01_m	1	JAFEBO01	1.0214	1.3459	1.2304	0.1286	0.0968
K00688	Leptolinea	1	Leptolinea	0.4839	0.0000	0.4372	0.7312	0.4127
K00688	Blastopirellula	1	M30B19	0.6440	0.3182	0.0000	0.0000	0.0000
K00688	midas_g_2947	1	Arctic95D-9	0.4217	0.3473	0.3810	0.0000	0.0599
K00688	CAIVAT01_m	1	CAIVAT01	0.0000	0.0000	0.0000	1.2515	0.2354
K00688	Flavitalea	1	JJ008	2.6918	4.2564	2.4319	0.0000	0.0000
K00688	Salinispiraceae_m	1		0.1746	0.1534	0.0526	2.2667	0.0331
K00688	UBA2386_m	1	UBA2386	0.4582	0.4428	0.4967	0.0000	0.0174
K00688	JADLGF01_m	1	JADLGF01	0.0000	0.0000	0.0000	0.5643	0.0000
K00688	midas_g_9628	1	UBA1930	0.3745	0.6580	0.9023	0.0000	0.0000
K00688	JAFLCM01_m	1	JAFLCM01	0.3253	0.9477	0.6617	0.2157	0.0271
K00688	Leptonema_m	1	Leptonema	0.8133	0.2842	0.5845	0.0000	0.0000
K00688	Herpetosiphon	1	Herpetosiphon	0.0000	0.9655	0.0000	0.5536	0.8948
K00688	Mariniflexile_m	1	Mariniflexile	2.8089	2.4675	2.5376	0.0000	0.0000
K00688	SCN-52-12_m	1	SCN-52-12	0.0000	0.0000	0.0000	0.0778	1.1130
K00688	Rurimicrobium	1	Flavipsychrobacter	0.4979	1.3122	1.5744	0.0000	0.0000
K00688	Flavipsychrobacter_m	1	Flavipsychrobacter	0.0000	0.0000	0.0000	0.0000	1.0310
K00688	JAEUWI01_m	1	JAEUWI01	0.9241	0.6722	0.3173	0.9635	0.1807
K00688	Fimbriimonadaceae_m	1		0.2548	0.0000	0.4618	0.6856	0.6219
K00688	Phnomibacter_m	1	Phnomibacter	0.0776	0.7158	0.0701	0.0000	0.0000
K00688	CALMUP01_m	1	CALMUP01	0.4025	1.3260	0.0000	0.0000	0.0000
K00688	Chlorobium	1	Chlorobium	0.0000	0.0805	0.1656	0.1846	0.0347
K00688	UBA924_m	1	UBA924	0.6378	0.0000	0.0000	1.9314	0.0000
K00688	1-14-0-10-56-10_m	2	1-14-0-10-56-10	0.4606	0.0000	0.1387	0.2320	0.0000
K00688	PJMF01_m	1		0.0000	0.0000	0.0966	0.2422	0.3038
K00688	JAEUSD01_m	1		0.2659	0.2502	0.0686	0.0000	0.0000
K00700	Ca_Competibacter	6	Competibacter	1113.9556	1234.2897	1213.0212	849.7121	484.6314
K00700	Ca_Accumulibacter	3	Accumulibacter	83.4076	39.7019	46.2378	168.9342	359.3798
K00700	Thauera	1	Thauera	37.9422	84.8169	83.2368	3.5162	1.8387
K00700	Leptovillus_m	2	Leptovillus	41.7994	17.7605	21.9842	51.8009	45.7333
K00700	JAEULV01_m	1	JAEULV01	6.1278	8.2283	8.5413	9.4357	36.3639
K00700	OLB5_m	3	OLB5	27.0002	15.8809	18.5723	24.8280	17.2435
K00700	Niveibacterium	1	Niveibacterium	0.7829	1.5824	1.7444	0.2758	0.0301
K00700	Azonexus	3	Azonexus	3.0764	2.2585	1.6725	24.8637	6.0206
K00700	Propionivibrio	1	Accumulibacter	4.6681	1.2766	1.5119	17.1017	0.7511
K00700	Terrimonas	2	JJ008	9.0013	5.3974	5.2504	32.6834	89.9368
K00700	Lysobacter	1	SCMT01	12.9346	11.6043	12.4936	8.3689	2.1904
K00700	Denitratisoma	1	Desulfobacillus	15.0367	4.8119	6.6953	5.5991	0.1221
K00700	Accumulibacter_m	3	Accumulibacter	16.5952	6.6911	10.8621	21.9856	3.8164
K00700	JAAEKA01_m	2	JAAEKA01	0.1549	0.0000	0.3910	8.6337	14.2477
K00700	Bosea	2	JAIUNP01	0.6873	0.9056	1.2418	3.9809	8.7264
K00700	Competibacter_A_m	1	Competibacter_A	1.0279	1.4870	1.7960	0.8715	0.0729
K00700	Villigracilis_m	4	Villigracilis	0.8529	0.5619	0.0000	4.8327	5.3336
K00700	Mesorhizobium	4	DUSC01	1.3744	0.8225	0.1239	2.2061	2.4668
K00700	Beijerinckiaceae_m	1		0.2288	0.2261	0.1550	0.5186	7.2515
K00700	Rhodobacter	4	JAAKGP01	2.0391	1.6760	1.4528	0.4156	0.8938
K00700	Azonexus_m	2	Azonexus	2.5071	2.1416	1.5309	6.3933	0.8950
K00700	Ca_Caldilinea	2	Caldilinea	2.6134	1.4406	4.0867	8.5361	5.7584
K00700	Flexifilum_m	4	Flexifilum	1.1387	0.4622	1.1893	1.3250	0.6242
K00700	Rhodobacteraceae	3	Neotabrizicola	0.1777	0.3135	0.5906	1.6173	1.2838
K00700	midas_g_8672	1	OLB9	2.2432	5.3205	3.6478	12.8804	9.1822
K00700	BA12_m	2	BA12	0.1517	1.0776	0.0000	29.1833	5.7362
K00700	JAEXTR01_m	1	JAEXTR01	1.6890	2.2256	0.9537	2.3926	5.1612
K00700	Hydrogenophaga_m	3	Hydrogenophaga	0.6129	3.6623	3.8580	0.3594	0.0385
K00700	CAIKZJ01_m	1	CAIKZJ01	0.0000	0.0000	0.0000	3.1825	1.6617
K00700	Ignavibacterium	3	UTCHB3	2.4027	4.3511	2.2674	4.6969	0.0958
K00700	Defluviicoccus_m	2	Defluviicoccus	12.1242	11.4789	10.9697	4.1766	1.0029
K00700	Phaeodactylibacter	1	UBA2329	2.6859	1.3904	0.6066	1.8118	1.9632
K00700	CALBKH01_m	1	CALBKH01	1.3459	0.2534	0.6948	0.4358	2.7328
K00700	Rhodoplanes	1	SCUB01	0.0000	0.0000	0.0985	1.4828	3.7194
K00700	Desulfobacillus_m	1	Desulfobacillus	2.5889	0.6978	1.2757	0.7113	0.0335
K00700	Rhizobiaceae	2	Mesorhizobium_A	0.7915	1.5322	1.2655	0.5165	0.6727
K00700	UBA2796_m	1	UBA2796	1.7797	0.4690	1.2863	8.0677	2.8331
K00700	UBA1924_m	2		5.2305	8.2199	9.3487	0.0811	0.3127
K00700	JACTMZ01_m	4	JACTMZ01	7.7580	8.8432	9.5455	4.1168	3.2440
K00700	BA9_m	1	BA9	0.0787	0.2075	0.0711	4.1047	0.0000
K00700	UBA6663_m	1	UBA6663	1.2189	1.6062	0.0000	1.8419	2.7720
K00700	JADKHR01_m	1	JADKHR01	1.2228	0.8952	1.1047	0.5132	0.3862
K00700	Sulfuritalea	2	Azospira_A	0.7082	0.5701	0.0000	1.5349	0.8418
K00700	Chelatococcus_asaccharovorans	1	Chelatococcus	0.2175	0.4777	0.5896	0.0548	0.0000
K00700	P3OB-42	1	JAEUJQ01	1.6133	4.0443	5.0303	0.6689	0.0000
K00700	Gemmobacter	1	Gemmobacter	1.1139	1.9570	2.3480	0.2805	0.0000
K00700	JACRCT01_m	1	JACRCT01	0.0568	0.2246	0.1027	0.0859	2.0997
K00700	Hoeflea	1	Pseudohoeflea	0.5115	0.2696	0.8318	0.4638	0.2326
K00700	Amaricoccus	1	Amaricoccus	1.4391	1.3545	0.5572	0.3883	0.0584
K00700	Flavobacterium	1	Flavobacterium	2.1832	5.2306	4.9310	0.2999	0.0000
K00700	JALHNB01_m	2	JALHNB01	0.2672	0.4432	0.2550	0.7499	0.4963
K00700	JANWYT01_m	1	JANWYT01	0.6499	0.7785	0.9074	0.0446	0.0336
K00700	Leadbetterella_m	1	Leadbetterella	0.1398	0.0000	0.0000	1.4791	5.1675
K00700	GCA-2794515_m	2	GCA-2794515	0.1470	0.1937	0.3984	0.4442	0.3343
K00700	Sulfuritalea_m	1	Sulfuritalea	2.1900	0.0000	2.3082	1.6546	0.0000
K00700	JAIUNP01_m	1	JAIUNP01	0.2900	0.2806	0.7163	0.2773	0.5718
K00700	alphaI_cluster	1	GCA-013693735	0.5552	0.6271	0.3583	0.2996	0.2706
K00700	Bryobacter	3	JACTMJ01	2.1199	2.2572	2.5402	1.1193	0.1805
K00700	Cephaloticoccus	1	UBA2377	3.9513	3.1240	0.7140	1.4927	0.4493
K00700	Cloacibacterium	1	Kaistella	1.4112	2.3184	2.9491	0.0000	0.0000
K00700	SHZI01_m	2	SHZI01	3.0043	1.4895	1.5748	0.6824	0.0333
K00700	JAIOHN01_m	1	JAIOHN01	0.0000	0.2102	0.0000	1.0847	0.1814
K00700	midas_g_1409	1	M3007	2.5150	1.6570	0.5680	1.5439	0.0894
K00700	UBA9002_m	1	UBA9002	0.0000	0.8868	0.6080	1.2711	2.6781
K00700	JAAFHL01_m	1	JAAFHL01	0.8050	1.2376	0.2424	0.0000	2.4410
K00700	Pseudorhodobacter	1	JAAKGP01	0.8489	3.0200	2.2246	1.4753	0.3138
K00700	Niabella	1	Niabella	1.4417	2.8495	2.6049	0.0000	0.0000
K00700	Gemmatimonas	1	JAABRT01	0.0865	0.3419	0.1563	0.0000	0.0000
K00700	GCA-013693735_m	1	GCA-013693735	0.5292	0.7843	3.9439	1.2992	1.0152
K00700	JACKCG01_m	1	JACKCG01	0.3506	0.0000	0.1584	1.0596	0.0000
K00700	Holophagaceae	1	Holophaga	0.0000	0.6503	1.4048	1.0317	0.0346
K00700	JALNZU01_m	1	JALNZU01	0.6066	2.1315	1.6441	0.3055	0.2299
K00700	Paracoccus	1	Paracoccus	0.9909	1.5291	2.6430	0.4746	2.7212
K00700	UBA2336_m	1	UBA2336	1.7700	0.3887	1.0660	0.6686	0.0000
K00700	Edaphobaculum	3	Flavipsychrobacter	0.0000	0.0000	0.1136	0.0950	0.3217
K00700	UBA5072_m	1	UBA5072	0.0000	0.0000	0.0000	0.8489	1.1356
K00700	Holophaga_m	1	Holophaga	0.0000	1.9668	0.4878	0.6747	2.1743
K00700	Shinella	1	Mesorhizobium_G	0.1021	0.2690	0.7376	0.0000	0.0000
K00700	Flavobacterium_m	1	Flavobacterium	0.7976	11.5607	7.9262	0.0000	0.0000
K00700	ELB16-189_m	1	ELB16-189	1.7042	1.0207	0.5599	0.1170	0.0000
K00700	JAEUKH01_m	1	JAEUKH01	0.0000	0.0000	0.0000	0.0000	1.2209
K00700	IGN3_m	1	IGN3	0.0000	0.0000	0.0000	0.6380	0.1440
K00700	Sediminibacterium	1	Sediminibacterium	0.0000	1.8564	1.4546	0.0000	0.0000
K00700	GCA-2702655_m	1	GCA-2702655	0.0000	0.0000	0.5188	0.8677	1.3059
K00700	Prosthecobacter	1	Prosthecobacter	0.1431	0.1885	0.2585	1.2973	0.1627
K00700	GWE2-31-10_m	1		0.0000	0.0000	0.0000	0.1994	0.9517
K00700	JAFEBO01_m	1	JAFEBO01	1.4329	1.1757	1.5947	0.0788	0.0000
K00700	Blastopirellula	1	M30B19	4.4294	1.3033	0.2647	0.1935	0.0000
K00700	midas_g_2947	1	Arctic95D-9	0.7394	1.2881	2.0372	0.0000	0.0000
K00700	JABWBB01_m	1	JABWBB01	0.0644	0.1697	0.1163	0.7296	0.1098
K00700	CAIVAT01_m	1	CAIVAT01	0.0000	0.0000	0.0000	1.0031	0.0000
K00700	Flavitalea	1	JJ008	0.5684	0.9154	1.0840	0.0954	0.0359
K00700	Salinispiraceae_m	1		0.1940	0.0000	0.0584	0.4397	0.0000
K00700	midas_g_9628	1	UBA1930	1.7858	1.6502	1.8108	0.0476	0.0000
K00700	JAFLCM01_m	1	JAFLCM01	0.0950	0.4380	0.1716	0.0359	0.0000
K00700	Herpetosiphon	1	Herpetosiphon	0.0000	0.0000	0.0694	0.0000	0.2182
K00700	Mariniflexile_m	1	Mariniflexile	0.6010	0.0000	0.7239	0.1513	0.0000
K00700	SCN-52-12_m	1	SCN-52-12	0.0000	0.0000	0.0000	0.0000	1.1258
K00700	Runella_m	1	Runella	0.7253	0.6978	1.5944	0.6000	0.1004
K00700	JAEUWI01_m	1	JAEUWI01	0.4828	0.7342	0.5815	0.0000	0.0211
K00700	Phnomibacter_m	1	Phnomibacter	2.4439	0.9852	2.3913	0.0000	0.0000
K00700	CALMUP01_m	1	CALMUP01	2.2795	2.8732	2.5984	1.1124	0.3203
K00700	JAFLBI01_m	1	JAFLBI01	0.2401	0.0000	0.4877	0.0000	0.0000
K00700	Chitinophagaceae	1	CAIVPM01	0.1133	0.0865	0.0000	0.6401	0.1289
K00702	Ca_Competibacter	6	Competibacter	358.6392	361.4522	351.5555	144.1662	63.3892
K00702	Leptovillus_m	2	Leptovillus	118.5322	52.8582	72.1500	168.2267	154.3261
K00702	Niveibacterium	1	Niveibacterium	0.3188	3.8859	0.7356	0.2022	0.0939
K00702	JAAEKA01_m	2	JAAEKA01	0.6477	0.4267	0.2926	16.3923	30.5613
K00702	Fen-1058_m	1	Fen-1058	0.0894	0.0000	0.0807	4.1751	16.5434
K00702	Villigracilis_m	4	Villigracilis	0.5412	0.0000	0.2452	2.6530	1.3585
K00702	UBA5066_m	3	UBA5066	2.4196	4.6459	4.3095	0.4178	0.1179
K00702	Azonexus_m	2	Azonexus	0.2779	0.1220	0.1674	0.3499	0.0527
K00702	Flexifilum_m	4	Flexifilum	2.6452	2.4831	1.6088	3.0040	0.9535
K00702	JAEXTR01_m	1	JAEXTR01	0.1044	0.3667	0.3457	0.6571	1.4043
K00702	Ignavibacterium	3	UTCHB3	0.4913	0.6474	0.5918	0.6186	0.0000
K00702	CALBKH01_m	1	CALBKH01	0.3804	1.8001	0.6096	0.3398	0.2163
K00702	UBA2796_m	1	UBA2796	1.1516	0.6070	0.2081	3.4802	2.6188
K00702	UBA1924_m	2		2.0779	3.4848	2.3892	0.0000	0.0000
K00702	BA9_m	1	BA9	0.0000	0.0000	0.0000	11.3582	0.2310
K00702	UBA6663_m	1	UBA6663	0.4471	1.1783	1.3464	0.4504	1.0167
K00702	JADKHR01_m	1	JADKHR01	3.7182	1.6332	0.9798	0.2341	0.7046
K00702	Inhella_m	2	Inhella	0.3509	0.5201	0.2377	0.0000	0.0000
K00702	UBA5195_m	1	UBA5195	0.1096	0.0000	0.0990	0.6069	1.4391
K00702	JALNZU01_m	1	JALNZU01	0.4534	0.8961	1.8431	0.3425	0.0000
K00702	Pseudofulvimonas_m	2	Pseudofulvimonas	0.6681	0.4108	0.3621	0.4375	0.0506
K00702	Anaerolinea	1	Anaerolinea	0.2001	0.1318	0.1356	0.2646	0.1138
K00702	UBA8950_m	1	UBA8950	0.2122	0.0000	0.1421	0.8354	0.2090
K00702	UBA5072_m	1	UBA5072	0.0000	0.0997	0.0684	0.5147	0.4303
K00702	IGN3_m	1	IGN3	0.0000	0.0000	0.0000	0.7231	0.5441
K00702	GCA-2702655_m	1	GCA-2702655	0.0000	0.0000	0.0000	0.3204	0.2066
K00702	JAFEBO01_m	1	JAFEBO01	0.2507	0.5285	0.5436	0.0000	0.0855
K00702	Leptolinea	1	Leptolinea	0.0000	0.1389	0.0000	0.1593	0.1199
K00702	Blastopirellula	1	M30B19	0.4169	0.0239	0.0328	0.0137	0.0000
K00702	JABWBB01_m	1	JABWBB01	0.0000	0.1446	0.0991	0.5389	0.0312
K00702	Salinispiraceae_m	1		0.0000	0.0830	0.1138	0.5233	0.0716
K00702	JAFLCM01_m	1	JAFLCM01	0.2613	0.6887	0.5194	0.0790	0.0000
K00702	Fimbriimonadaceae_m	1		0.1329	0.0000	0.0000	0.7974	0.8978
K00703	Ca_Competibacter	6	Competibacter	185.8445	185.3453	189.5687	164.5593	81.3305
K00703	Ca_Accumulibacter	3	Accumulibacter	58.1577	37.2094	45.6647	134.9697	153.9392
K00703	Thauera	1	Thauera	51.4635	137.8649	123.4283	4.3328	2.2107
K00703	Leptovillus_m	2	Leptovillus	35.7272	17.5753	22.6877	53.5934	45.9284
K00703	JAEULV01_m	1	JAEULV01	6.5365	10.8550	9.4647	12.3124	45.7138
K00703	OLB5_m	3	OLB5	30.5322	18.3668	18.2559	25.9016	8.8805
K00703	Niveibacterium	1	Niveibacterium	0.0877	0.4623	0.1585	0.1988	0.0000
K00703	Azonexus	3	Azonexus	4.4523	1.6762	1.9701	30.8923	6.4573
K00703	Propionivibrio	1	Accumulibacter	13.4798	3.0326	10.0989	39.9917	1.8692
K00703	Terrimonas	2	JJ008	56.1377	30.5336	24.4528	113.1849	196.7326
K00703	Denitratisoma	1	Desulfobacillus	17.1787	6.1441	7.2056	6.3040	0.0698
K00703	Accumulibacter_m	3	Accumulibacter	3.0444	1.5339	2.1842	6.9973	1.9945
K00703	Zoogloea	3	Zoogloea	0.5548	1.3956	1.3669	0.0000	0.0287
K00703	Bosea	2	JAIUNP01	0.9115	0.6006	0.6176	3.9599	6.0891
K00703	Fen-1058_m	1	Fen-1058	0.0831	0.5327	0.2150	4.9061	20.1052
K00703	Villigracilis_m	4	Villigracilis	0.7198	0.0000	0.1835	5.1051	4.3929
K00703	Mesorhizobium	4	DUSC01	1.7768	1.4765	0.9493	4.1192	2.1717
K00703	UBA5066_m	3	UBA5066	5.4060	8.4226	9.2551	0.2973	0.0000
K00703	Beijerinckiaceae_m	1		0.2362	0.4150	0.0711	0.7733	9.1766
K00703	Rhodobacter	4	JAAKGP01	4.3831	5.3714	3.2276	1.2393	2.2727
K00703	Azonexus_m	2	Azonexus	0.0884	0.3496	0.4794	1.2027	0.1006
K00703	Ca_Caldilinea	2	Caldilinea	0.1747	1.4496	0.9567	2.6879	1.8939
K00703	Flexifilum_m	4	Flexifilum	1.5183	1.8173	0.8300	2.6419	2.7270
K00703	Rhodobacteraceae	3	Neotabrizicola	0.0903	0.3565	0.4065	1.9778	2.6875
K00703	midas_g_8672	1	OLB9	0.0000	0.0000	0.3064	14.8469	10.0672
K00703	BA12_m	2	BA12	0.0000	0.0000	0.1084	8.3699	2.0462
K00703	JAEXTR01_m	1	JAEXTR01	1.8771	0.9619	2.0727	1.5758	2.0751
K00703	Hydrogenophaga_m	3	Hydrogenophaga	1.1884	3.1344	2.8365	0.3198	0.0000
K00703	CAIKZJ01_m	1	CAIKZJ01	0.2910	0.0842	0.0000	22.5046	10.8132
K00703	Ignavibacterium	3	UTCHB3	6.3679	10.6721	6.0155	20.4960	0.4056
K00703	Defluviicoccus_m	2	Defluviicoccus	2.2094	1.2770	3.1533	0.2983	0.1671
K00703	Phaeodactylibacter	1	UBA2329	6.6711	2.8012	4.4121	7.1429	6.6852
K00703	CALBKH01_m	1	CALBKH01	0.0635	0.0836	0.0573	0.0959	1.0285
K00703	Rhodoplanes	1	SCUB01	0.0000	0.0000	0.0000	5.5783	12.5927
K00703	Desulfobacillus_m	1	Desulfobacillus	2.2396	0.7945	1.7121	0.9111	0.0490
K00703	Rhizobiaceae	2	Mesorhizobium_A	0.2384	0.8377	0.7179	0.1201	0.0452
K00703	UBA2796_m	1	UBA2796	1.0337	0.0000	0.9338	5.2064	5.2890
K00703	JACTMZ01_m	4	JACTMZ01	2.2433	1.6417	2.9577	1.1341	0.7525
K00703	BA9_m	1	BA9	0.1440	0.1085	0.2045	9.6100	0.0468
K00703	PHOS-HE28_m	2	PHOS-HE28	0.7468	1.4414	1.3054	5.2910	0.3185
K00703	UBA6663_m	1	UBA6663	0.4631	0.0000	1.4644	0.6998	1.0532
K00703	Taibaiella	1	Flavipsychrobacter	3.9793	5.5519	6.3441	3.8906	0.0000
K00703	JADKHR01_m	1	JADKHR01	1.4108	0.6561	0.6747	0.3762	0.7549
K00703	Chelatococcus_asaccharovorans	1	Chelatococcus	0.1557	0.3419	0.2813	0.0000	0.0000
K00703	P3OB-42	1	JAEUJQ01	6.9772	11.0795	13.3911	1.3482	0.0000
K00703	Gemmobacter	1	Gemmobacter	1.1187	0.7370	3.0320	0.4226	0.0000
K00703	JACRCT01_m	1	JACRCT01	0.0000	0.1674	0.0000	0.2288	7.2926
K00703	Hoeflea	1	Pseudohoeflea	0.2380	0.3135	0.4299	0.2996	0.1804
K00703	Inhella_m	2	Inhella	0.6017	1.4094	1.4715	0.0000	0.0000
K00703	OLB10_m	1	OLB10	1.9401	0.1278	0.9640	1.6123	0.3860
K00703	Amaricoccus	1	Amaricoccus	0.3616	0.5242	0.3594	0.1639	0.0822
K00703	Flavobacterium	1	Flavobacterium	7.8562	10.0339	12.1853	0.7491	0.0795
K00703	JALHNB01_m	2	JALHNB01	0.1758	0.5791	0.3176	0.7305	0.2998
K00703	JANWYT01_m	1	JANWYT01	1.4121	0.8141	0.4784	0.0000	0.0000
K00703	Leadbetterella_m	1	Leadbetterella	0.0881	0.0000	0.0000	1.2643	3.2047
K00703	GCA-2794515_m	2	GCA-2794515	2.6050	0.6865	1.5690	0.6560	0.4937
K00703	Sulfuritalea_m	1	Sulfuritalea	0.8305	0.4690	0.8575	0.7171	0.1349
K00703	alphaI_cluster	1	GCA-013693735	1.0569	1.3927	0.7161	1.3974	0.0000
K00703	Bryobacter	3	JACTMJ01	4.9670	5.6600	5.2510	1.3016	0.3243
K00703	Cephaloticoccus	1	UBA2377	3.0180	1.4772	1.6297	0.6865	0.1380
K00703	Cloacibacterium	1	Kaistella	0.6456	1.3368	1.7073	0.0000	0.0000
K00703	Aquimonas_m	3	Aquimonas	0.0000	0.0000	0.0000	0.8238	0.0000
K00703	SHZI01_m	2	SHZI01	1.0358	1.1378	1.1679	0.3931	0.0490
K00703	JADKFD01_m	1	JADKFD01	1.6176	1.5987	1.4614	2.4443	0.1150
K00703	UBA2287_m	1	UBA2287	0.0000	0.6081	0.4169	2.3243	1.9239
K00703	JAIOHN01_m	1	JAIOHN01	0.3559	0.1173	0.3216	1.0757	0.3541
K00703	midas_g_1409	1	M3007	7.2134	1.3571	2.2584	5.7378	0.0542
K00703	UBA9002_m	1	UBA9002	1.4675	0.3319	0.6629	1.7417	3.4774
K00703	UBA5195_m	1	UBA5195	0.0000	0.0000	0.0000	0.5259	0.5441
K00703	JAAFHL01_m	1	JAAFHL01	0.2161	0.4745	0.3253	0.0000	1.3103
K00703	UBA2475_m	3	UBA2475	2.9330	3.6888	3.6236	0.0000	0.0000
K00703	Pseudorhodobacter	1	JAAKGP01	0.2974	0.3919	0.5374	0.1348	0.1353
K00703	Niabella	1	Niabella	1.0719	2.9121	2.9194	0.2025	0.0000
K00703	Gemmatimonas	1	JAABRT01	0.4264	0.3371	0.5394	0.0000	0.0000
K00703	2-12-FULL-35-15_m	2	2-12-FULL-35-15	2.0214	0.4098	1.4047	2.3494	0.1768
K00703	GCA-013693735_m	1	GCA-013693735	0.0867	0.3426	0.7829	0.2619	0.1478
K00703	JACKCG01_m	1	JACKCG01	0.0868	0.0000	0.0000	0.6560	0.0494
K00703	Holophagaceae	1	Holophaga	0.4032	1.1711	1.0854	1.1439	0.0000
K00703	JALNZU01_m	1	JALNZU01	0.9571	1.1035	1.6213	0.0904	0.0000
K00703	midas_g_6489	1	UBA6170	1.0268	0.0000	0.9276	2.7013	3.2002
K00703	Paracoccus	1	Paracoccus	0.3627	0.1195	0.2457	0.2740	0.1546
K00703	Terrimicrobium	1	QYQL01	0.0000	0.0000	0.0000	2.6745	3.6897
K00703	Anaerolinea	1	Anaerolinea	1.9138	0.0000	0.1511	1.2578	0.1426
K00703	UBA2336_m	1	UBA2336	2.0401	0.1493	0.9216	1.1132	0.0644
K00703	Edaphobaculum	3	Flavipsychrobacter	1.5571	0.6038	0.4139	0.5095	0.9154
K00703	UBA8950_m	1	UBA8950	0.0000	0.0000	0.0000	0.6082	0.2861
K00703	UBA5072_m	1	UBA5072	0.0000	0.0000	0.0000	0.7810	0.7835
K00703	UBA5200_m	1	UBA5200	0.3091	0.8146	0.7447	0.0778	0.1172
K00703	Holophaga_m	1	Holophaga	0.4102	1.2307	0.8438	1.4972	2.4975
K00703	Shinella	1	Mesorhizobium_G	0.4395	0.0000	1.1911	0.0000	0.0000
K00703	PGYR01_m	1	PGYR01	2.6333	1.2335	2.4856	2.3202	0.5322
K00703	ELB16-189_m	1	ELB16-189	1.4154	1.1990	1.0047	0.0000	0.0575
K00703	Defluviimonas	1	Albidovulum	0.0000	0.0000	0.0000	0.0000	0.6659
K00703	JAEUKH01_m	1	JAEUKH01	0.0911	0.0000	0.0000	0.0000	0.4141
K00703	IGN3_m	1	IGN3	0.0000	0.0000	0.0000	4.8522	2.3014
